RX_pos,TX_pos
-5.5,2.25
-5,2.5
-4.5,NaN
-4,NaN
-3.5,NaN
-3,NaN
-2.5,NaN
-2,NaN
-1.5,NaN
-1,NaN
-0.5,NaN
0,NaN
0.5,NaN
1,NaN
1.5,NaN
2,NaN
2.5,NaN
3,NaN
3.5,NaN
4,NaN
4.5,NaN
5,NaN
5.5,NaN
6,NaN
6.31,NaN
6.72,NaN
6.72,NaN
6.72,NaN
6.72,NaN
6.27,NaN
5.9,NaN
5.48,NaN
5.06,NaN
4.56,NaN
4.06,NaN
3.56,NaN
3.06,NaN
2.6,NaN
2.25,NaN
1.9,NaN
1.68,NaN
1.34,NaN
1,NaN
0.6,NaN
0.55,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.3,NaN
-2.69,NaN
-3.11,NaN
-3.61,NaN
-4.11,NaN
-4.61,NaN
-4.82,NaN
-5.16,NaN
-5.43,NaN
-5.7,NaN
-5.7,NaN
-5.7,NaN
-5.7,NaN
-5.7,NaN
-5.45,NaN
-5.1,NaN
-4.75,NaN
-4.36,NaN
-3.94,NaN
-3.52,NaN
-3.22,NaN
-2.75,NaN
